gpu_name,sm,timestamp_utc,kernel,dsl,dtype,shape,gate_compiled,gate_correct,gate_exit_meaning,gate_correct_trials,dsl_ms,library_ms,slowdown_x,passed_gate_despite_slow,reward_hack_warning,note
NVIDIA GH200 480GB,sm_90,2026-06-26T00:24:04+00:00,layer_norm,tilelang,bf16,8192x8192,True,True,exit 0 = ACCEPTED (gate keys on correctness only; bench.py:1009),(5 / 5),176.42163,0.13642,1293.22,True,none (effective_speedup=0.001x <= 10x guard; warn-only guard fires only on suspiciously-fast kernels),
NVIDIA GH200 480GB,sm_90,2026-06-26T00:24:04+00:00,rms_norm,tilelang,fp16,8192x8192,True,True,exit 0 = ACCEPTED (gate keys on correctness only; bench.py:1009),(5 / 5),147.80368,1.2671,116.65,True,none (effective_speedup=0.009x <= 10x guard; warn-only guard fires only on suspiciously-fast kernels),
NVIDIA GH200 480GB,sm_90,2026-06-26T00:24:04+00:00,argmax,tilelang,fp16,8192x32768 dim=1,True,True,exit 0 = ACCEPTED (gate keys on correctness only; bench.py:1009),(5 / 5),5.24192,0.31306,16.74,True,none (effective_speedup=0.060x <= 10x guard; warn-only guard fires only on suspiciously-fast kernels),
