gpu_name,sm,timestamp_utc,shape,impl,M,N,K,median_ms,mean_ms,std_ms,gflops,speedup_vs_plain,e_vs_cublas
NVIDIA GH200 480GB,sm_90,2026-06-26T04:12:20+00:00,4096x4096,cublas,4096,4096,4096,0.25408,0.25509,0.00454,540927.9,1.293,100.0
NVIDIA GH200 480GB,sm_90,2026-06-26T04:12:20+00:00,4096x4096,triton_plain,4096,4096,4096,0.32861,0.33107,0.00677,418243.4,1.0,77.32
NVIDIA GH200 480GB,sm_90,2026-06-26T04:12:20+00:00,4096x4096,triton_autotune,4096,4096,4096,0.2873,0.28931,0.00734,478381.3,1.144,88.44
NVIDIA GH200 480GB,sm_90,2026-06-26T04:12:20+00:00,4096x4096,tilelang_swizzle,4096,4096,4096,0.48512,0.48472,0.00423,283309.2,0.677,52.37
NVIDIA GH200 480GB,sm_90,2026-06-26T04:12:20+00:00,16384x16384,cublas,16384,16384,16384,13.0895,13.13153,0.06505,671996.1,1.861,100.0
NVIDIA GH200 480GB,sm_90,2026-06-26T04:12:20+00:00,16384x16384,triton_plain,16384,16384,16384,24.36454,24.38908,0.10752,361020.3,1.0,53.72
NVIDIA GH200 480GB,sm_90,2026-06-26T04:12:20+00:00,16384x16384,triton_autotune,16384,16384,16384,13.33968,13.38354,0.09557,659393.1,1.826,98.12
NVIDIA GH200 480GB,sm_90,2026-06-26T04:12:20+00:00,16384x16384,tilelang_swizzle,16384,16384,16384,26.00419,26.00943,0.04417,338256.8,0.937,50.34
