kernel,dsl,precision,input_desc,pytorch_ms,before_ms,before_vs_pytorch,after_ms,after_vs_pytorch,speedup_gained,iterations,strategy
layer_norm,tilelang,bfloat16,"x:(8192,8192) w:(8192,) b:(8192,)",0.87,1090.0,314.1x slower,0.89,1.00x (match),1224x,18,T.serial→T.reduce + native bf16 I/O + torch.empty
matmul,triton,float16,"A:(4096,4096) B:(4096,4096)",1.76,2.71,1.54x slower,1.63,1.08x faster,1.66x,6,@triton.autotune + GROUP_SIZE_M L2 swizzle
rms_norm,tilelang,float16,"x:(8192,8192) w:(8192,)",9.99,716.0,71.7x slower,0.90,11.1x faster,796x,2,T.serial→T.reduce + native fp16 I/O + T.rsqrt
conv2d,triton,float16,"x:(32,256,128,128) w:(256,256,3,3)",10.0,32.1,3.21x slower,12.5,0.80x,2.57x,15,implicit GEMM + fp16 tensor cores + padded input + autotune
argmax,tilelang,float16,"x:(8192,32768) dim=1",1.71,16.2,9.47x slower,1.75,0.98x (match),9.26x,13,tiled shared mem loads + bM=256 + native fp16 I/O
