kernel,dsl,precision,input_desc,pytorch_ms,before_ms,before_vs_pytorch,after_ms,after_vs_pytorch,speedup_gained,iterations,strategy
max_reduction,tilelang,float16,"x:(8192,32768) dim=1",0.281,5.26,18.7x slower,0.333,1.18x (parity),15.8x,1,two-pass tiled T.reduce: max-value + first-index via reduce-min; native dtype I/O (no fp32 upcast)
mean_reduction,tilelang,float32,"x:(8192,32768) dim=1",0.305,4.31,14.2x slower,0.316,1.03x (match),13.6x,1,one-block-per-row tiled T.reduce sum (was T.serial element loop)
softmax,tilelang,float16,"x:(4096,32768)",0.254,1.16,4.6x slower,0.295,1.15x (parity),3.9x,1,one-block-per-row shared-mem row cache + tiled T.reduce; native fp16 (removed PyTorch fallback for N>8192)
log_softmax,tilelang,float16,"x:(4096,32768)",0.213,1.21,5.7x slower,0.241,1.12x (match),5.0x,1,same shared-mem row kernel: out = x - max - log(sum exp); native fp16 (no fp32 round-trip)
max_reduction,triton,float16,"x:(8192,32768) dim=1",0.281,1.50,5.3x slower,0.238,0.85x faster,6.3x,1,tiled streaming reduction with running max+argmax (was: load whole next_pow2(N) row in one block)
batched_matmul,tilelang,float16,"A:(128,2048) B:(128,2048,2048)",0.353,6.28,17.8x slower,0.317,0.90x faster,19.8x,1,tiled multiply + T.reduce over K with A row cached in shared; native fp16 (was fp32 upcast + serial inner loop)
conv2d,tilelang,float16,"x:(32,256,128,128) w:(256,256,3,3)",1.27,18.58,14.6x slower,2.29,1.61x,8.1x,1,direct conv as KH*KW accumulating fp16 tensor-core GEMMs over a spatially padded input; NCHW direct write (was im2col + fp32 + per-batch loop)
