gpu_name,sm,timestamp_utc,kernel,dsl,dtype,shape,gate_compiled,gate_correct,gate_exit_meaning,gate_correct_trials,dsl_ms,library_ms,slowdown_x,passed_gate_despite_slow,reward_hack_warning,note
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:06+00:00,layer_norm,tilelang,bf16,8192x8192,True,True,exit 0 = ACCEPTED (gate keys on correctness only; bench.py:1009),(5 / 5),97.18375,0.31642,307.14,True,none (effective_speedup=0.003x <= 10x guard; warn-only guard fires only on suspiciously-fast kernels),
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:06+00:00,rms_norm,tilelang,fp16,8192x8192,True,True,exit 0 = ACCEPTED (gate keys on correctness only; bench.py:1009),(5 / 5),80.12288,2.50778,31.95,True,none (effective_speedup=0.031x <= 10x guard; warn-only guard fires only on suspiciously-fast kernels),
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:06+00:00,argmax,tilelang,fp16,8192x32768 dim=1,True,True,exit 0 = ACCEPTED (gate keys on correctness only; bench.py:1009),(5 / 5),10.49702,0.62464,16.8,True,none (effective_speedup=0.060x <= 10x guard; warn-only guard fires only on suspiciously-fast kernels),
