==PROF== Connected to process 52956 (/usr/bin/python3.10)
==PROF== Disconnected from process 52956
"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","52956","python3.10","127.0.0.1","52956  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x6_nn_align8>(Params)","1","7","(256, 1, 1)","(1024, 8, 1)","0","8.0","Command line profiler metrics","dram__bytes_read.sum","byte","22798930304"
"0","52956","python3.10","127.0.0.1","52956  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x6_nn_align8>(Params)","1","7","(256, 1, 1)","(1024, 8, 1)","0","8.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","40.09"
"0","52956","python3.10","127.0.0.1","52956  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x6_nn_align8>(Params)","1","7","(256, 1, 1)","(1024, 8, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","37431200"
"0","52956","python3.10","127.0.0.1","52956  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x6_nn_align8>(Params)","1","7","(256, 1, 1)","(1024, 8, 1)","0","8.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","74.20"
