==PROF== Connected to process 103624 (/usr/bin/python3.10)
==PROF== Disconnected from process 103624
"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","103624","python3.10","127.0.0.1","103624  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x6_nn_align8>(Params)","1","7","(256, 1, 1)","(1024, 8, 1)","0","8.0","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio","sector","16"
"0","103624","python3.10","127.0.0.1","103624  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x6_nn_align8>(Params)","1","7","(256, 1, 1)","(1024, 8, 1)","0","8.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","3221225472"
"0","103624","python3.10","127.0.0.1","103624  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x6_nn_align8>(Params)","1","7","(256, 1, 1)","(1024, 8, 1)","0","8.0","Command line profiler metrics","sm__sass_inst_executed_op_global_ld.sum","inst","0"
"0","103624","python3.10","127.0.0.1","103624  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x6_nn_align8>(Params)","1","7","(256, 1, 1)","(1024, 8, 1)","0","8.0","Command line profiler metrics","smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct","%","0"
